title,daily_rank,daily_movement,weekly_movement,view_count,like_count,comment_count,video_tags,publish_date,tokens,category,title_len
ANUNSYO,3,47,47,2090684,98263,8688,"geo ong, vlog, vlogger, ybs, travel, adventure, palawan, gio, ong, gioong, hiphop, covid19, covid, corona, pinoy, philippines, youngbloods, dougie, congtv, teampayaman, jolai, viy, yow, bosskeng, exb, exbattalion, skustclee, yongee, flowg, angelicayap, offroad, livelife, ranzkyle, niana, ranz&niana, camping, offgrid, wildasovich, harabas",2024-07-09 00:00:00+00:00,['anunsyo'],Foreign,1
AWAY,6,43,44,1859087,76639,6313,"geo ong, vlog, vlogger, ybs, travel, adventure, palawan, gio, ong, gioong, hiphop, covid19, covid, corona, pinoy, philippines, youngbloods, dougie, congtv, teampayaman, jolai, viy, yow, bosskeng, exb, exbattalion, skustclee, yongee, flowg, angelicayap, offroad, livelife, ranzkyle, niana, ranz&niana, camping, offgrid, wildasovich, harabas",2025-03-19 00:00:00+00:00,['away'],Foreign,1
AYAWUB,4,46,46,3039290,95805,7160,"geo ong, vlog, vlogger, ybs, travel, adventure, palawan, gio, ong, gioong, hiphop, covid19, covid, corona, pinoy, philippines, youngbloods, dougie, congtv, teampayaman, jolai, viy, yow, bosskeng, exb, exbattalion, skustclee, yongee, flowg, angelicayap, offroad, livelife, ranzkyle, niana, ranz&niana, camping, offgrid, wildasovich, harabas",2025-01-22 00:00:00+00:00,['ayawub'],Foreign,1
AYSARGSID,20,30,30,2494344,88447,7049,"geo ong, vlog, vlogger, ybs, travel, adventure, palawan, gio, ong, gioong, hiphop, covid19, covid, corona, pinoy, philippines, youngbloods, dougie, congtv, teampayaman, jolai, viy, yow, bosskeng, exb, exbattalion, skustclee, yongee, flowg, angelicayap, offroad, livelife, ranzkyle, niana, ranz&niana, camping, offgrid, wildasovich, harabas",2025-02-17 00:00:00+00:00,['aysargsid'],Foreign,1
"Abot Kamay Na Pangarap: A happy ending for Zoey and Dax! (Full Episode 558) June 24, 2024",28,22,22,1085225,13301,1488,"GMA, GMA Network, GMA 7, GMA Teleserye, Entertainment, Drama, Abot Kamay Na Pangarap, Abot Kamay Na Pangarap GMA, Abot Kamay Na Pangarap latest episode, Abot Kamay Na Pangarap June 24 2024, Abot Kamay Na Pangarap Episode 558, vertical: entertainment, format: full episode, type: digital, series:Abot Kamay Na Pangarap, topic: love, family, medical, person: Jillian Ward, person: Kazel Kinouchi, person: Carmina Villarroel-Legaspi, location: Philippines, language: Filipino",2024-06-24 00:00:00+00:00,"['abot', 'kamay', 'pangarap', 'happy', 'ending', 'zoey', 'dax', 'episode', '558', 'june', '24', '2024']",Drama,12
An Honest Conversation with Ate by Alex Gonzaga,4,46,46,2434624,85351,4624,"Alex gonzaga, Alex vlog, New vlog, Ivana alawi, Zeinab, Cong tv, Showtime, Eat, Tvj, Tv5, Gma, Bulaga, News, Travel, New video, Vlog trip, Alex g, Gonzaga, Friends, Best friends, Bff, Funny, New vid, Vlog, Toni gonzaga, Tanay Rizal, Daily vlog, Tiktok, Lifestyle, Trending, Viral, Dance, Friendships, Yayamanin, House raid, Rich life, Niceprint, Wedding, Same day edit, Celebrity photography, Celebrity video, Home raid, House tour, Dongyan, Marian",2024-01-28 00:00:00+00:00,"['honest', 'conversation', 'ate', 'alex', 'gonzaga']",Videoblogging,5
"Anak ng Kumander | Manny Pacquiao, Ara Mina | Full Tagalog Action Movie",44,2,6,1070258,7291,160,"anak ng kumander full movie, jungo pinoy movies, tagalog movies, tagalog full movie, full movie, free movie, free full movie tagalog dubbed, full length filipino movies, manny pacquiao movie, tagalog dubbed full movie, tagalog dubbed full movie drama, tagalog dubbed, tagalized drama movies, tagalog dubbed drama movies, tagalized full movies, tagalized movie, best tagalog drama movies, tagalog dubbed drama movie, tagalog dubbed drama movies 2022, free tagalog movies",2024-03-22 00:00:00+00:00,"['anak', 'kumander', 'manny', 'pacquiao', 'ara', 'mina', 'tagalog', 'action', 'movie']",Movies,9
"Anak ng Kumander | Manny Pacquiao, Ara Mina | Full Tagalog Drama Movie",36,9,14,602237,4304,94,"anak ng kumander full movie, jungo pinoy movies, tagalog movies, tagalog full movie, full movie, free movie, free full movie tagalog dubbed, full length filipino movies, manny pacquiao movie, tagalog dubbed full movie, tagalog dubbed full movie drama, tagalog dubbed, tagalized drama movies, tagalog dubbed drama movies, tagalized full movies, tagalized movie, best tagalog drama movies, tagalog dubbed drama movie, tagalog dubbed drama movies 2022, free tagalog movies",2024-03-22 00:00:00+00:00,"['anak', 'kumander', 'manny', 'pacquiao', 'ara', 'mina', 'tagalog', 'drama', 'movie']",Movies,9
"Andi Eigenmann delivers statement on the passing of her mother, Jaclyn Jose",23,20,27,1261832,10537,1163,"ABS-CBN, ABS-CBN News, ABS-CBN Philippines, Philippine News, News, Philippines, News Daytime, TeleRadyo, TeleRadyo Live, ABS-CBN Livestream, ABS-CBN News Livestream, DZMM TeleRadyo, March 4 2024, 20240304news, ABS-CBNNews_LS, YT0psRoilher, format:report, format:interview, format:livereport, type:broadcast, genre:society, genre:politics, genre:economy, type:live, channel:ABS-CBNNews, #ABS-CBNNews_Livestream, Andi Eigenmann delivers statement, Andi Eigenmann, passing of her mother, Jaclyn Jose, Jaclyn",2024-03-04 00:00:00+00:00,"['andi', 'eigenmann', 'delivers', 'statement', 'passing', 'mother', 'jaclyn', 'jose']",News & Politics,8
Answering Hot Questions Infront of Your Partner by Alex Gonzaga,7,42,43,3185025,70423,3157,"Alex gonzaga, Alex vlog, New vlog, Ivana alawi, Zeinab, Cong tv, Showtime, Eat, Tvj, Tv5, Gma, Bulaga, News, Travel, New video, Vlog trip, Alex g, Gonzaga, Friends, Best friends, Bff, Funny, New vid, Vlog, Toni gonzaga, Tanay Rizal, Daily vlog, Tiktok, Lifestyle, Trending, Viral, Dance, Friendships, Yayamanin, House raid, Rich life, Niceprint, Wedding, Same day edit, Celebrity photography, Celebrity video, Home raid, House tour, Dongyan, Marian",2025-02-16 00:00:00+00:00,"['answering', 'hot', 'questions', 'infront', 'partner', 'alex', 'gonzaga']",Videoblogging,7
Asking EM on a DATE at THAILAND! (Valentines Special DAY - 6),29,-2,21,944021,41782,7873,,2024-02-13 00:00:00+00:00,"['asking', 'em', 'date', 'thailand', 'valentines', 'special', 'day']",Foreign,7
